model_type,alpha,solver,rmse,mae,r2,rank
ridge,100.0,lsqr,1.8033541949412335,1.4718149459280485,-0.004846852185188544,1
ridge,100.0,cholesky,1.8033624373664876,1.4718202775907017,-0.004856037728463436,2
ridge,100.0,auto,1.8033624373664876,1.4718202775907017,-0.004856037728463436,3
ridge,100.0,svd,1.8033624373664876,1.4718202775907014,-0.004856037728463436,4
ridge,50.0,lsqr,1.809389010288985,1.4758504284422378,-0.011583423110416602,5
ridge,50.0,svd,1.809402761385424,1.47585911726029,-0.011598798946112154,6
ridge,50.0,cholesky,1.8094027613854242,1.47585911726029,-0.011598798946112376,7
ridge,50.0,auto,1.8094027613854242,1.47585911726029,-0.011598798946112376,8
ridge,10.0,lsqr,1.8159594642508212,1.4794294731313287,-0.018943510011781628,9
ridge,10.0,auto,1.8159809679277044,1.4794426969155772,-0.01896764178582444,10
ridge,10.0,svd,1.8159809679277044,1.4794426969155772,-0.01896764178582444,11
ridge,10.0,cholesky,1.8159809679277044,1.4794426969155772,-0.01896764178582444,12
ridge,5.0,lsqr,1.8169250127975975,1.4798998453114427,-0.02002734585636823,13
ridge,5.0,svd,1.8169478142914641,1.4799138090388786,-0.020052947675975874,14
ridge,5.0,cholesky,1.8169478142914646,1.4799138090388786,-0.02005294767597654,15
ridge,5.0,auto,1.8169478142914646,1.4799138090388786,-0.02005294767597654,16
ridge,2.0,lsqr,1.8175222547416734,1.4801845455049603,-0.020698043035859648,17
ridge,2.0,auto,1.8175458796264168,1.4801989759920793,-0.02072457809509487,18
ridge,2.0,cholesky,1.8175458796264168,1.4801989759920793,-0.02072457809509487,19
ridge,2.0,svd,1.817545879626417,1.4801989759920793,-0.020724578095095092,20
ridge,1.0,lsqr,1.8177244127716858,1.4802798583103274,-0.02092511456747337,21
ridge,1.0,auto,1.8177483199433742,1.4802944483436957,-0.020951969675244042,22
ridge,1.0,cholesky,1.8177483199433742,1.4802944483436957,-0.020951969675244042,23
ridge,1.0,svd,1.8177483199433746,1.480294448343696,-0.020951969675244264,24
ridge,0.5,lsqr,1.8178260776867043,1.4803275920758074,-0.021039317982272987,25
ridge,0.5,auto,1.8178501275053254,1.4803422626403366,-0.021066334838440115,26
ridge,0.5,svd,1.8178501275053254,1.4803422626403364,-0.021066334838440115,27
ridge,0.5,cholesky,1.8178501275053254,1.4803422626403366,-0.021066334838440115,28
ridge,0.1,lsqr,1.8179076926822093,1.480365816214929,-0.02113100331020701,29
ridge,0.01,lsqr,1.8179260908491568,1.4803744211937286,-0.021151672163544966,30
ridge,0.1,auto,1.8179318573476269,1.4803805515714625,-0.021158150401493048,31
ridge,0.1,svd,1.8179318573476269,1.4803805515714625,-0.021158150401493048,32
ridge,0.1,cholesky,1.8179318573476269,1.4803805515714625,-0.021158150401493048,33
ridge,0.01,cholesky,1.8179502814449262,1.480389171173636,-0.02117884866076092,34
ridge,0.01,auto,1.8179502814449262,1.480389171173636,-0.02117884866076092,35
ridge,0.01,svd,1.8179502814449262,1.480389171173636,-0.02117884866076092,36
